constructorId,name,auto_color,custom_color
161,Adams,#778AAE,
147,AFM,#E15F99,
39,AGS,#6C7C32,
51,Alfa Romeo,#E15F99,#B12039
213,AlphaTauri,#A777F1,#2B4562
214,Alpine F1 Team,#620042,#2293D1
126,Alta,#DA16FF,
78,Amon,#DA16FF,
38,Andrea Moda,#B2828D,
71,Apollon,#6C4516,
21,Arrows,#DA60CA,
137,Arzani-Volpini,#778AAE,
152,Aston Butterworth,#B68100,
117,Aston Martin,#1616A7,#2D826D
54,ATS,#DA16FF,
16,BAR,#778AAE,
104,Behra-Porsche,#B68100,
85,Bellasi,#FB00D1,
22,Benetton,#6C4516,
145,BMW,#AF0038,
2,BMW Sauber,#E15F99,
70,Boro,#DA60CA,
34,Brabham,#511CFB,
204,Brabham-Alfa Romeo,#511CFB,
181,Brabham-BRM,#00A08B,
183,Brabham-Climax,#FC0080,
182,Brabham-Ford,#FB00D1,
191,Brabham-Repco,#DA60CA,
23,Brawn,#0D2A63,
66,BRM,#862A16,
197,BRM-Ford,#1CA71C,
139,Bromme,#A777F1,
94,BRP,#DA60CA,
130,Bugatti,#EB663B,
207,Caterham,#FC0080,
115,Christensen,#A777F1,
153,Cisitalia,#750D86,
42,Coloni,#A777F1,
125,Connaught,#FB0D0D,
84,Connew,#00A08B,
87,Cooper,#B2828D,
178,Cooper-Alfa Romeo,#750D86,
193,Cooper-ATS,#0D2A63,
169,Cooper-Borgward,#0D2A63,
195,Cooper-BRM,#2E91E5,
171,Cooper-Castellotti,#2E91E5,
170,Cooper-Climax,#AF0038,
192,Cooper-Ferrari,#6C4516,
186,Cooper-Ford,#778AAE,
167,Cooper-Maserati,#1616A7,
168,Cooper-OSCA,#6C4516,
35,Dallara,#00A08B,
86,De Tomaso,#FC0080,
175,De Tomaso-Alfa Romeo,#DA16FF,
179,De Tomaso-Ferrari,#EB663B,
174,De Tomaso-Osca,#FB0D0D,
150,Deidt,#DA16FF,
143,Del Roy,#6C4516,
96,Derrington,#0D2A63,
120,Dunn,#0D2A63,
88,Eagle,#6C7C32,
189,Eagle-Climax,#620042,
190,Eagle-Weslake,#1616A7,
121,Elder,#AF0038,
75,Embassy Hill,#E15F99,
99,Emeryson,#E15F99,
146,EMW,#2E91E5,
100,ENB,#1CA71C,
57,Ensign,#750D86,
108,Epperly,#00A08B,
151,ERA,#222A2A,
44,Euro Brun,#620042,
116,Ewing,#620042,
102,Ferguson,#DA16FF,
6,Ferrari,#222A2A,#DC0000
56,Fittipaldi,#B68100,
36,Fondmetal,#FB00D1,
29,Footwork,#DA16FF,
10,Force India,#511CFB,#FF80C7
28,Forti,#FB0D0D,
148,Frazer Nash,#1CA71C,
123,Fry,#E15F99,
97,Gilby,#AF0038,
128,Gordini,#B68100,
210,Haas F1 Team,#778AAE,#B6BABD
155,Hall,#511CFB,
64,Hesketh,#6C7C32,
11,Honda,#00A08B,
164,HRT,#620042,
133,HWM,#FB00D1,
80,Iso Marlboro,#B68100,
19,Jaguar,#620042,
101,JBW,#FB0D0D,
17,Jordan,#862A16,
61,Kauhsen,#FB00D1,
140,Klenk,#620042,
72,Kojima,#0D2A63,
113,Kurtis Kraft,#778AAE,
114,Kuzma,#862A16,
40,Lambo,#778AAE,
132,Lancia,#00A08B,
157,Langley,#FB00D1,
33,Larrousse,#EB663B,
89,LDS,#778AAE,
185,LDS-Alfa Romeo,#6C7C32,
184,LDS-Climax,#B2828D,
68,LEC,#620042,
110,Lesovsky,#FC0080,
41,Leyton House,#862A16,
47,Life,#6C4516,
27,Ligier,#1CA71C,
26,Lola,#E15F99,
205,Lotus,#00A08B,#FFB800
208,Lotus F1,#B2828D,#FFB800
177,Lotus-Borgward,#B68100,
176,Lotus-BRM,#222A2A,
172,Lotus-Climax,#E15F99,
180,Lotus-Ford,#511CFB,
173,Lotus-Maserati,#1CA71C,
201,Lotus-Pratt &amp; Whitney,#B68100,
76,Lyncar,#1CA71C,
74,Maki,#2E91E5,
209,Manor Marussia,#6C7C32,
37,March,#FC0080,
199,March-Alfa Romeo,#DA16FF,
200,March-Ford,#222A2A,
156,Marchese,#00A08B,
65,Martini,#778AAE,
206,Marussia,#FB00D1,#6E0000
105,Maserati,#750D86,
82,Matra,#EB663B,
196,Matra-Ford,#E15F99,
103,MBM,#222A2A,
69,McGuire,#1616A7,
1,McLaren,#2E91E5,#F58020
198,McLaren-Alfa Romeo,#FB0D0D,
194,McLaren-BRM,#AF0038,
187,McLaren-Ford,#862A16,
188,McLaren-Serenissima,#A777F1,
131,Mercedes,#511CFB,#00D2BE
60,Merzario,#00A08B,
112,Meskowski,#6C7C32,
13,MF1,#FC0080,
163,Milano,#A777F1,
18,Minardi,#A777F1,
119,Moore,#6C4516,
138,Nichels,#862A16,
159,Olson,#B2828D,
46,Onyx,#DA60CA,
127,OSCA,#222A2A,
45,Osella,#1616A7,
30,Pacific,#222A2A,
136,Pankratz,#6C7C32,
73,Parnelli,#AF0038,
135,Pawl,#B2828D,
67,Penske,#A777F1,
109,Phillips,#FB00D1,
83,Politoys,#511CFB,
95,Porsche,#6C4516,
20,Prost,#1616A7,
90,Protos,#862A16,
211,Racing Point,#862A16,#F596C8
158,Rae,#FC0080,
50,RAM,#2E91E5,
93,RE,#1616A7,
62,Rebaque,#FC0080,
9,Red Bull,#EB663B,#1E5BC6
4,Renault,#FB0D0D,#FFF500
48,Rial,#0D2A63,
15,Sauber,#6C7C32,#006EFF
106,Scarab,#EB663B,
134,Schroeder,#FC0080,
92,Scirocco,#620042,
58,Shadow,#EB663B,
202,Shadow-Ford,#750D86,
203,Shadow-Matra,#EB663B,
91,Shannon,#A777F1,
149,Sherman,#FB0D0D,
141,Simca,#1616A7,
31,Simtek,#B68100,
162,Snowberger,#862A16,
52,Spirit,#1CA71C,
12,Spyker,#FB00D1,
14,Spyker MF1,#B2828D,
98,Stebro,#2E91E5,
129,Stevens,#750D86,
24,Stewart,#AF0038,
8,Super Aguri,#750D86,
63,Surtees,#B2828D,
122,Sutton,#2E91E5,
154,Talbot-Lago,#EB663B,
32,Team Lotus,#750D86,#FFB800
124,Tec-Mec,#1CA71C,
81,Tecno,#750D86,
55,Theodore,#222A2A,
79,Token,#222A2A,
53,Toleman,#FB0D0D,
5,Toro Rosso,#DA16FF,#469BFF
7,Toyota,#B68100,
111,Trevis,#B2828D,
77,Trojan,#FB0D0D,
142,Turner,#DA60CA,
25,Tyrrell,#2E91E5,
118,Vanwall,#DA60CA,
144,Veritas,#0D2A63,
166,Virgin,#DA60CA,
107,Watson,#511CFB,
160,Wetteroth,#6C7C32,
3,Williams,#1CA71C,#005AFF
59,Wolf,#511CFB,
49,Zakspeed,#AF0038,